"","country","indicator","year","value","units"
"28","Botswana","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"29","Botswana","PoE.1 Routine capacities established at points of entry","2017","4",NA
"30","Botswana","PoE.2 E ective public health response at points of entry","2017","1",NA
"31","Burkina Faso","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"32","Burkina Faso","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"33","Burkina Faso","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"34","Burkina Faso","P.7.2 National vaccine access and delivery","2017","3",NA
"35","Burkina Faso","D.1.1 Laboratory testing for detection of priority diseases","2017","3",NA
"36","Burkina Faso","D.1.2 Specimen referral and transport system","2017","2",NA
"37","Burkina Faso","D.1.4 Laboratory quality system","2017","3",NA
"38","Burkina Faso","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"39","Burkina Faso","D.3.2 Reporting network and protocols in country","2017","1",NA
"40","Burkina Faso","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"41","Burkina Faso","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"42","Burkina Faso","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"43","Burkina Faso","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"44","Burkina Faso","PoE.1 Routine capacities established at points of entry","2017","1",NA
"45","Burkina Faso","PoE.2 E ective public health response at points of entry","2017","1",NA
"46","Burundi","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","1",NA
"47","Burundi","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"48","Burundi","P.6.2 Biosafety and biosecurity training and practices","2018","2",NA
"49","Burundi","P.7.2 National vaccine access and delivery","2018","4",NA
"50","Burundi","D.1.1 Laboratory testing for detection of priority diseases","2018","3",NA
"51","Burundi","D.1.2 Specimen referral and transport system","2018","4",NA
"52","Burundi","D.1.4 Laboratory quality system","2018","2",NA
"53","Burundi","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","2",NA
"54","Burundi","D.3.2 Reporting network and protocols in country","2018","1",NA
"55","Burundi","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","2",NA
"56","Burundi","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","2",NA
"57","Burundi","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","1",NA
"58","Burundi","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","3",NA
"59","Burundi","PoE.1 Routine capacities established at points of entry","2018","1",NA
"60","Burundi","PoE.2 E ective public health response at points of entry","2018","1",NA
"61","Cameroon","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"62","Cameroon","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"63","Cameroon","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"64","Cameroon","P.7.2 National vaccine access and delivery","2017","3",NA
"65","Cameroon","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"66","Cameroon","D.1.2 Specimen referral and transport system","2017","1",NA
"67","Cameroon","D.1.4 Laboratory quality system","2017","2",NA
"68","Cameroon","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"69","Cameroon","D.3.2 Reporting network and protocols in country","2017","1",NA
"70","Cameroon","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"71","Cameroon","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"72","Cameroon","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"73","Cameroon","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"74","Cameroon","PoE.1 Routine capacities established at points of entry","2017","1",NA
"75","Cameroon","PoE.2 E ective public health response at points of entry","2017","1",NA
"76","Chad","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"77","Chad","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"78","Chad","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"79","Chad","P.7.2 National vaccine access and delivery","2017","3",NA
"80","Chad","D.1.1 Laboratory testing for detection of priority diseases","2017","2",NA
"81","Chad","D.1.2 Specimen referral and transport system","2017","2",NA
"82","Chad","D.1.4 Laboratory quality system","2017","1",NA
"83","Chad","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"84","Chad","D.3.2 Reporting network and protocols in country","2017","2",NA
"85","Chad","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","2",NA
"86","Chad","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"87","Chad","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"88","Chad","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"89","Chad","PoE.1 Routine capacities established at points of entry","2017","1",NA
"90","Chad","PoE.2 E ective public health response at points of entry","2017","1",NA
"91","Comoros","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"92","Comoros","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"93","Comoros","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"94","Comoros","P.7.2 National vaccine access and delivery","2017","4",NA
"95","Comoros","D.1.1 Laboratory testing for detection of priority diseases","2017","2",NA
"96","Comoros","D.1.2 Specimen referral and transport system","2017","1",NA
"97","Comoros","D.1.4 Laboratory quality system","2017","1",NA
"98","Comoros","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"99","Comoros","D.3.2 Reporting network and protocols in country","2017","2",NA
"100","Comoros","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"101","Comoros","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"102","Comoros","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"103","Comoros","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"104","Comoros","PoE.1 Routine capacities established at points of entry","2017","1",NA
"105","Comoros","PoE.2 E ective public health response at points of entry","2017","1",NA
"106","Democratic Republic of the Congo","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","1",NA
"107","Democratic Republic of the Congo","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"108","Democratic Republic of the Congo","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"109","Democratic Republic of the Congo","P.7.2 National vaccine access and delivery","2018","3",NA
"110","Democratic Republic of the Congo","D.1.1 Laboratory testing for detection of priority diseases","2018","3",NA
"111","Democratic Republic of the Congo","D.1.2 Specimen referral and transport system","2018","2",NA
"112","Democratic Republic of the Congo","D.1.4 Laboratory quality system","2018","1",NA
"113","Democratic Republic of the Congo","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","3",NA
"114","Democratic Republic of the Congo","D.3.2 Reporting network and protocols in country","2018","2",NA
"115","Democratic Republic of the Congo","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","4",NA
"116","Democratic Republic of the Congo","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","3",NA
"117","Democratic Republic of the Congo","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","1",NA
"118","Democratic Republic of the Congo","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"119","Democratic Republic of the Congo","PoE.1 Routine capacities established at points of entry","2018","1",NA
"120","Democratic Republic of the Congo","PoE.2 E ective public health response at points of entry","2018","1",NA
"121","Cote d'Ivoire","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","2",NA
"122","Cote d'Ivoire","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"123","Cote d'Ivoire","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"124","Cote d'Ivoire","P.7.2 National vaccine access and delivery","2016","3",NA
"125","Cote d'Ivoire","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"126","Cote d'Ivoire","D.1.2 Specimen referral and transport system","2016","2",NA
"127","Cote d'Ivoire","D.1.4 Laboratory quality system","2016","3",NA
"128","Cote d'Ivoire","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","3",NA
"129","Cote d'Ivoire","D.3.2 Reporting network and protocols in country","2016","2",NA
"130","Cote d'Ivoire","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","3",NA
"131","Cote d'Ivoire","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","2",NA
"132","Cote d'Ivoire","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","2",NA
"133","Cote d'Ivoire","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"134","Cote d'Ivoire","PoE.1 Routine capacities established at points of entry","2016","2",NA
"135","Cote d'Ivoire","PoE.2 E ective public health response at points of entry","2016","1",NA
"136","Djibouti","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","1",NA
"137","Djibouti","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","1",NA
"138","Djibouti","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"139","Djibouti","P.7.2 National vaccine access and delivery","2018","4",NA
"140","Djibouti","D.1.1 Laboratory testing for detection of priority diseases","2018","3",NA
"141","Djibouti","D.1.2 Specimen referral and transport system","2018","2",NA
"142","Djibouti","D.1.4 Laboratory quality system","2018","1",NA
"143","Djibouti","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","2",NA
"144","Djibouti","D.3.2 Reporting network and protocols in country","2018","2",NA
"145","Djibouti","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","1",NA
"146","Djibouti","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","1",NA
"147","Djibouti","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","1",NA
"148","Djibouti","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"149","Djibouti","PoE.1 Routine capacities established at points of entry","2018","2",NA
"150","Djibouti","PoE.2 E ective public health response at points of entry","2018","1",NA
"151","Eritrea","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","2",NA
"152","Eritrea","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"153","Eritrea","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"154","Eritrea","P.7.2 National vaccine access and delivery","2016","4",NA
"155","Eritrea","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"156","Eritrea","D.1.2 Specimen referral and transport system","2016","3",NA
"157","Eritrea","D.1.4 Laboratory quality system","2016","2",NA
"158","Eritrea","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","2",NA
"159","Eritrea","D.3.2 Reporting network and protocols in country","2016","2",NA
"160","Eritrea","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","3",NA
"161","Eritrea","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","4",NA
"162","Eritrea","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","3",NA
"163","Eritrea","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"164","Eritrea","PoE.1 Routine capacities established at points of entry","2016","3",NA
"165","Eritrea","PoE.2 E ective public health response at points of entry","2016","1",NA
"166","Eswatini","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","2",NA
"167","Eswatini","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","1",NA
"168","Eswatini","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"169","Eswatini","P.7.2 National vaccine access and delivery","2018","2",NA
"170","Eswatini","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"171","Eswatini","D.1.2 Specimen referral and transport system","2018","4",NA
"172","Eswatini","D.1.4 Laboratory quality system","2018","2",NA
"173","Eswatini","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","1",NA
"174","Eswatini","D.3.2 Reporting network and protocols in country","2018","2",NA
"175","Eswatini","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","1",NA
"176","Eswatini","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","1",NA
"177","Eswatini","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","2",NA
"178","Eswatini","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"179","Eswatini","PoE.1 Routine capacities established at points of entry","2018","1",NA
"180","Eswatini","PoE.2 E ective public health response at points of entry","2018","1",NA
"181","Ethiopia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","2",NA
"182","Ethiopia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"183","Ethiopia","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"184","Ethiopia","P.7.2 National vaccine access and delivery","2016","4",NA
"185","Ethiopia","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"186","Ethiopia","D.1.2 Specimen referral and transport system","2016","3",NA
"187","Ethiopia","D.1.4 Laboratory quality system","2016","2",NA
"188","Ethiopia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","3",NA
"189","Ethiopia","D.3.2 Reporting network and protocols in country","2016","2",NA
"190","Ethiopia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","4",NA
"191","Ethiopia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","3",NA
"192","Ethiopia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","2",NA
"193","Ethiopia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"194","Ethiopia","PoE.1 Routine capacities established at points of entry","2016","2",NA
"195","Ethiopia","PoE.2 E ective public health response at points of entry","2016","2",NA
"196","Gambia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"197","Gambia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"198","Gambia","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"199","Gambia","P.7.2 National vaccine access and delivery","2017","4",NA
"200","Gambia","D.1.1 Laboratory testing for detection of priority diseases","2017","2",NA
"201","Gambia","D.1.2 Specimen referral and transport system","2017","1",NA
"202","Gambia","D.1.4 Laboratory quality system","2017","1",NA
"203","Gambia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","1",NA
"204","Gambia","D.3.2 Reporting network and protocols in country","2017","2",NA
"205","Gambia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"206","Gambia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"207","Gambia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"208","Gambia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"209","Gambia","PoE.1 Routine capacities established at points of entry","2017","1",NA
"210","Gambia","PoE.2 E ective public health response at points of entry","2017","1",NA
"211","Ghana","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","3",NA
"212","Ghana","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"213","Ghana","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"214","Ghana","P.7.2 National vaccine access and delivery","2017","3",NA
"215","Ghana","D.1.1 Laboratory testing for detection of priority diseases","2017","3",NA
"216","Ghana","D.1.2 Specimen referral and transport system","2017","2",NA
"217","Ghana","D.1.4 Laboratory quality system","2017","2",NA
"218","Ghana","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"219","Ghana","D.3.2 Reporting network and protocols in country","2017","2",NA
"220","Ghana","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"221","Ghana","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"222","Ghana","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"223","Ghana","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"224","Ghana","PoE.1 Routine capacities established at points of entry","2017","3",NA
"225","Ghana","PoE.2 E ective public health response at points of entry","2017","2",NA
"226","Guinea","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"227","Guinea","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"228","Guinea","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"229","Guinea","P.7.2 National vaccine access and delivery","2017","4",NA
"230","Guinea","D.1.1 Laboratory testing for detection of priority diseases","2017","3",NA
"231","Guinea","D.1.2 Specimen referral and transport system","2017","3",NA
"232","Guinea","D.1.4 Laboratory quality system","2017","2",NA
"233","Guinea","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"234","Guinea","D.3.2 Reporting network and protocols in country","2017","2",NA
"235","Guinea","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"236","Guinea","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"237","Guinea","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"238","Guinea","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"239","Guinea","PoE.1 Routine capacities established at points of entry","2017","1",NA
"240","Guinea","PoE.2 E ective public health response at points of entry","2017","1",NA
"241","Kenya","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","3",NA
"242","Kenya","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"243","Kenya","P.6.2 Biosafety and biosecurity training and practices","2017","3",NA
"244","Kenya","P.7.2 National vaccine access and delivery","2017","4",NA
"245","Kenya","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"246","Kenya","D.1.2 Specimen referral and transport system","2017","2",NA
"247","Kenya","D.1.4 Laboratory quality system","2017","3",NA
"248","Kenya","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"249","Kenya","D.3.2 Reporting network and protocols in country","2017","2",NA
"250","Kenya","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"251","Kenya","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"252","Kenya","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","3",NA
"253","Kenya","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
