"country","indicator","year","value","units"
"Cote d'Ivoire","PoE.1 Routine capacities established at points of entry","2016","2",NA
"Cote d'Ivoire","PoE.2 E ective public health response at points of entry","2016","1",NA
"Djibouti","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","1",NA
"Djibouti","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","1",NA
"Djibouti","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"Djibouti","P.7.2 National vaccine access and delivery","2018","4",NA
"Djibouti","D.1.1 Laboratory testing for detection of priority diseases","2018","3",NA
"Djibouti","D.1.2 Specimen referral and transport system","2018","2",NA
"Djibouti","D.1.4 Laboratory quality system","2018","1",NA
"Djibouti","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","2",NA
"Djibouti","D.3.2 Reporting network and protocols in country","2018","2",NA
"Djibouti","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","1",NA
"Djibouti","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","1",NA
"Djibouti","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","1",NA
"Djibouti","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"Djibouti","PoE.1 Routine capacities established at points of entry","2018","2",NA
"Djibouti","PoE.2 E ective public health response at points of entry","2018","1",NA
"Eritrea","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","2",NA
"Eritrea","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"Eritrea","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"Eritrea","P.7.2 National vaccine access and delivery","2016","4",NA
"Eritrea","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"Eritrea","D.1.2 Specimen referral and transport system","2016","3",NA
"Eritrea","D.1.4 Laboratory quality system","2016","2",NA
"Eritrea","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","2",NA
"Eritrea","D.3.2 Reporting network and protocols in country","2016","2",NA
"Eritrea","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","3",NA
"Eritrea","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","4",NA
"Eritrea","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","3",NA
"Eritrea","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"Eritrea","PoE.1 Routine capacities established at points of entry","2016","3",NA
"Eritrea","PoE.2 E ective public health response at points of entry","2016","1",NA
"Eswatini","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","2",NA
"Eswatini","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","1",NA
"Eswatini","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"Eswatini","P.7.2 National vaccine access and delivery","2018","2",NA
"Eswatini","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"Eswatini","D.1.2 Specimen referral and transport system","2018","4",NA
"Eswatini","D.1.4 Laboratory quality system","2018","2",NA
"Eswatini","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","1",NA
"Eswatini","D.3.2 Reporting network and protocols in country","2018","2",NA
"Eswatini","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","1",NA
"Eswatini","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","1",NA
"Eswatini","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","2",NA
"Eswatini","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"Eswatini","PoE.1 Routine capacities established at points of entry","2018","1",NA
"Eswatini","PoE.2 E ective public health response at points of entry","2018","1",NA
"Ethiopia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","2",NA
"Ethiopia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"Ethiopia","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"Ethiopia","P.7.2 National vaccine access and delivery","2016","4",NA
"Ethiopia","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"Ethiopia","D.1.2 Specimen referral and transport system","2016","3",NA
"Ethiopia","D.1.4 Laboratory quality system","2016","2",NA
"Ethiopia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","3",NA
"Ethiopia","D.3.2 Reporting network and protocols in country","2016","2",NA
"Ethiopia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","4",NA
"Ethiopia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","3",NA
"Ethiopia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","2",NA
"Ethiopia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"Ethiopia","PoE.1 Routine capacities established at points of entry","2016","2",NA
"Ethiopia","PoE.2 E ective public health response at points of entry","2016","2",NA
"Gambia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"Gambia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"Gambia","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"Gambia","P.7.2 National vaccine access and delivery","2017","4",NA
"Gambia","D.1.1 Laboratory testing for detection of priority diseases","2017","2",NA
"Gambia","D.1.2 Specimen referral and transport system","2017","1",NA
"Gambia","D.1.4 Laboratory quality system","2017","1",NA
"Gambia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","1",NA
"Gambia","D.3.2 Reporting network and protocols in country","2017","2",NA
"Gambia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"Gambia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"Gambia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"Gambia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"Gambia","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Gambia","PoE.2 E ective public health response at points of entry","2017","1",NA
"Ghana","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","3",NA
"Ghana","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"Ghana","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"Ghana","P.7.2 National vaccine access and delivery","2017","3",NA
"Ghana","D.1.1 Laboratory testing for detection of priority diseases","2017","3",NA
"Ghana","D.1.2 Specimen referral and transport system","2017","2",NA
"Ghana","D.1.4 Laboratory quality system","2017","2",NA
"Ghana","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"Ghana","D.3.2 Reporting network and protocols in country","2017","2",NA
"Ghana","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"Ghana","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Ghana","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"Ghana","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"Ghana","PoE.1 Routine capacities established at points of entry","2017","3",NA
"Ghana","PoE.2 E ective public health response at points of entry","2017","2",NA
"Guinea","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"Guinea","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"Guinea","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"Guinea","P.7.2 National vaccine access and delivery","2017","4",NA
"Guinea","D.1.1 Laboratory testing for detection of priority diseases","2017","3",NA
"Guinea","D.1.2 Specimen referral and transport system","2017","3",NA
"Guinea","D.1.4 Laboratory quality system","2017","2",NA
"Guinea","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"Guinea","D.3.2 Reporting network and protocols in country","2017","2",NA
"Guinea","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"Guinea","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Guinea","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"Guinea","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"Guinea","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Guinea","PoE.2 E ective public health response at points of entry","2017","1",NA
"Kenya","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","3",NA
"Kenya","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"Kenya","P.6.2 Biosafety and biosecurity training and practices","2017","3",NA
"Kenya","P.7.2 National vaccine access and delivery","2017","4",NA
"Kenya","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"Kenya","D.1.2 Specimen referral and transport system","2017","2",NA
"Kenya","D.1.4 Laboratory quality system","2017","3",NA
"Kenya","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"Kenya","D.3.2 Reporting network and protocols in country","2017","2",NA
"Kenya","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"Kenya","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Kenya","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","3",NA
"Kenya","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"Kenya","PoE.1 Routine capacities established at points of entry","2017","2",NA
"Kenya","PoE.2 E ective public health response at points of entry","2017","2",NA
"Lesotho","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"Lesotho","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"Lesotho","P.6.2 Biosafety and biosecurity training and practices","2017","2",NA
"Lesotho","P.7.2 National vaccine access and delivery","2017","4",NA
"Lesotho","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"Lesotho","D.1.2 Specimen referral and transport system","2017","1",NA
"Lesotho","D.1.4 Laboratory quality system","2017","2",NA
"Lesotho","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"Lesotho","D.3.2 Reporting network and protocols in country","2017","2",NA
